profile; file_name; recorded_at; total_records
arbin; z_tb04_s2_19_classe_b_channel_19_wb_1.xlsx; Fri Oct 27 2023 10:54:23 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s2_08_bat02_fan_fault_channel_15_wb_1.xlsx; Fri Oct 27 2023 10:54:22 GMT-0300 (Horário Padrão de Brasília); 6572
arbin; z_tb04_s2_15_bat02_channel_19_wb_1.xlsx; Fri Oct 27 2023 10:54:23 GMT-0300 (Horário Padrão de Brasília); 4558
arbin; z_tb04_s2_22_bat02_channel_29_wb_1.xlsx; Fri Oct 27 2023 10:54:23 GMT-0300 (Horário Padrão de Brasília); 4565
arbin; z_tb04_s2_14_bat02_channel_29_wb_1.xlsx; Fri Oct 27 2023 10:54:22 GMT-0300 (Horário Padrão de Brasília); 8601
arbin; z_tb04_s2_15_bat02_fan_fault_channel_19_wb_1.xlsx; Fri Oct 27 2023 10:54:23 GMT-0300 (Horário Padrão de Brasília); 7405
arbin; z_tb04_s2_18_bat02_channel_31_wb_1.xlsx; Fri Oct 27 2023 10:54:23 GMT-0300 (Horário Padrão de Brasília); 8771
arbin; z_tb04_s2_22_bat02_fan_fault_channel_29_wb_1.xlsx; Fri Oct 27 2023 10:54:23 GMT-0300 (Horário Padrão de Brasília); 7268
arbin; z_tb04_s2_26_classe_b_channel_3_wb_1.xlsx; Fri Oct 27 2023 10:54:26 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s2_19_bat02_channel_19_wb_1.xlsx; Fri Oct 27 2023 10:54:23 GMT-0300 (Horário Padrão de Brasília); 8472
arbin; z_tb04_s2_23_bat02_channel_17_wb_1.xlsx; Fri Oct 27 2023 10:54:24 GMT-0300 (Horário Padrão de Brasília); 4913
arbin; z_tb04_s2_26_channel_3_wb_1.xlsx; Fri Oct 27 2023 10:54:26 GMT-0300 (Horário Padrão de Brasília); 892
arbin; z_tb04_s2_27_classe_b_channel_23_wb_1.xlsx; Fri Oct 27 2023 10:54:26 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s2_28_classe_a_channel_23_wb_1.xlsx; Fri Oct 27 2023 10:54:26 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s2_23_bat02_fan_fault_channel_17_wb_1.xlsx; Fri Oct 27 2023 10:54:24 GMT-0300 (Horário Padrão de Brasília); 6290
arbin; z_tb20_s1_03_bat02_channel_15_wb_1.xlsx; Fri Oct 27 2023 10:54:26 GMT-0300 (Horário Padrão de Brasília); 1109
arbin; z_tb20_s1_19_bat02_channel_9_wb_1.xlsx; Fri Oct 27 2023 10:54:27 GMT-0300 (Horário Padrão de Brasília); 30
arbin; z_tb20_s1_19_bat02_b_channel_9_wb_1.xlsx; Fri Oct 27 2023 10:54:27 GMT-0300 (Horário Padrão de Brasília); 16
arbin; z_tb20_s1_19_bat02_c_channel_9_wb_1.xlsx; Fri Oct 27 2023 10:54:27 GMT-0300 (Horário Padrão de Brasília); 55
arbin; z_tb20_s1_19_classe_c_channel_9_wb_1.xlsx; Fri Oct 27 2023 10:54:27 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb04_s2_26_b_channel_3_wb_1.xlsx; Fri Oct 27 2023 10:54:25 GMT-0300 (Horário Padrão de Brasília); 7777
arbin; z_tb04_s2_30_bat02_channel_27_wb_1.xlsx; Fri Oct 27 2023 10:54:26 GMT-0300 (Horário Padrão de Brasília); 4360
arbin; z_tb20_s2_03_bat02_b_channel_9_wb_1.xlsx; Fri Oct 27 2023 10:54:27 GMT-0300 (Horário Padrão de Brasília); 1970
arbin; z_tb20_s2_03_bat02_d_channel_9_wb_1.xlsx; Fri Oct 27 2023 10:54:28 GMT-0300 (Horário Padrão de Brasília); 2
arbin; z_tb20_s2_03_bat02_c_channel_9_wb_1.xlsx; Fri Oct 27 2023 10:54:28 GMT-0300 (Horário Padrão de Brasília); 1
arbin; z_tb20_s1_43_bat02_channel_9_wb_1.xlsx; Fri Oct 27 2023 10:54:27 GMT-0300 (Horário Padrão de Brasília); 3544
arbin; z_tb20_s2_09_bat02_channel_13_wb_1.xlsx; Fri Oct 27 2023 10:54:28 GMT-0300 (Horário Padrão de Brasília); 21
arbin; z_tb20_s2_12_bat02_channel_15_wb_1.xlsx; Fri Oct 27 2023 10:54:28 GMT-0300 (Horário Padrão de Brasília); 127
arbin; z_tb04_s2_30_bat02_fan_fault_channel_27_wb_1.xlsx; Fri Oct 27 2023 10:54:26 GMT-0300 (Horário Padrão de Brasília); 7067
arbin; z_tb20_s2_04_bat02_channel_13_wb_1.xlsx; Fri Oct 27 2023 10:54:28 GMT-0300 (Horário Padrão de Brasília); 1011
arbin; z_tb04_s2_27_bat02_channel_23_wb_1.xlsx; Fri Oct 27 2023 10:54:26 GMT-0300 (Horário Padrão de Brasília); 8433
arbin; z_tb20_s2_17_bat02_channel_17_wb_1.xlsx; Fri Oct 27 2023 10:54:28 GMT-0300 (Horário Padrão de Brasília); 12
arbin; z_tb20_s2_17_bat02_c_channel_11_wb_1.xlsx; Fri Oct 27 2023 10:54:28 GMT-0300 (Horário Padrão de Brasília); 270
arbin; z_tb04_s2_28_bat02_channel_23_wb_1.xlsx; Fri Oct 27 2023 10:54:26 GMT-0300 (Horário Padrão de Brasília); 8370
